BattleSamuraiId,SamuraiId,BattleId
1,9891,1
2,6717,1
3,5994,1
4,7624,1
5,1590,1
6,9418,1
7,5438,1
8,6719,1
9,5619,1
10,1956,1
11,2411,1
12,9414,1
13,225,1
14,1282,1
15,3323,1
16,8253,1
17,9721,1
18,5178,1
19,4939,1
20,2294,1
21,1877,1
22,1351,1
23,8849,1
24,190,1
25,863,1
26,482,1
27,315,1
28,4703,1
29,337,1
30,6290,1
31,3536,1
32,9219,1
33,3530,1
34,227,1
35,6202,1
36,2619,1
37,4596,1
38,9177,1
39,1773,1
40,1202,1
41,486,1
42,73,1
43,1070,1
44,3204,1
45,302,1
46,8898,1
47,9686,1
48,9432,1
49,4024,1
50,2083,1
51,6892,1
52,6780,1
53,9710,1
54,6819,1
55,4559,1
56,4995,1
57,5466,1
58,4833,1
59,6616,1
60,8968,1
61,2698,1
62,132,1
63,8587,1
64,9955,1
65,9556,1
66,5144,1
67,1719,1
68,6213,1
69,1519,1
70,1284,1
71,20,1
72,1427,1
73,3415,1
74,2806,1
75,2142,1
76,8571,1
77,2345,1
78,251,1
79,9625,1
80,4791,1
81,885,1
82,1769,1
83,392,1
84,4816,1
85,6970,1
86,3717,1
87,6942,1
88,6672,1
89,2814,1
90,4376,1
91,1541,1
92,5478,1
93,5419,1
94,8115,1
95,8003,1
96,1104,1
97,1905,1
98,9345,1
99,109,1
100,4375,1
101,7546,1
102,9532,1
103,479,1
104,8856,1
105,8719,1
106,9838,1
107,4612,1
108,3823,1
109,3720,1
110,5151,1
111,6420,1
112,9209,1
113,3000,1
114,8017,1
115,9393,1
116,711,1
117,991,1
118,8677,1
119,3920,1
120,4882,1
121,490,1
122,7608,1
123,3724,1
124,7918,1
125,2097,1
126,7102,1
127,5707,1
128,2460,1
129,6383,1
130,5039,1
131,633,1
132,4213,1
133,8719,1
134,3270,1
135,9889,1
136,3512,1
137,1527,1
138,557,1
139,882,1
140,9684,1
141,3268,1
142,8925,1
143,8748,1
144,6249,1
145,3038,1
146,9565,1
147,2401,1
148,6137,1
149,298,1
150,9853,1
151,3574,1
152,3449,1
153,8401,1
154,2175,1
155,2772,1
156,8176,1
157,6439,1
158,6024,1
159,8909,1
160,4121,1
161,1633,1
162,6078,1
163,8309,1
164,3879,1
165,2245,1
166,1614,1
167,783,1
168,2582,1
169,1230,1
170,9078,1
171,4836,1
172,4890,1
173,1444,1
174,1357,1
175,9566,1
176,3746,1
177,618,1
178,4209,1
179,2726,1
180,5913,1
181,6943,1
182,5081,1
183,8936,1
184,4963,1
185,6301,1
186,4724,1
187,7654,1
188,6872,1
189,718,1
190,8825,1
191,4360,1
192,6369,1
193,4156,1
194,5526,1
195,9633,1
196,1740,1
197,8789,1
198,983,1
199,3843,1
200,3552,1
201,8855,1
202,7216,1
203,5459,1
204,5910,1
205,1273,1
206,7248,1
207,4355,1
208,8324,1
209,9868,1
210,715,1
211,6507,1
212,2963,1
213,9819,1
214,5417,1
215,5213,1
216,8865,1
217,38,1
218,5635,1
219,3145,1
220,6602,1
221,2139,1
222,1366,1
223,7367,1
224,3695,1
225,8069,1
226,8729,1
227,2665,2
228,6530,2
229,5531,2
230,8784,2
231,4650,2
232,2998,2
233,6552,2
234,4940,2
235,2725,2
236,1508,2
237,6099,2
238,5404,2
239,4830,2
240,7215,2
241,8050,2
242,812,2
243,8041,2
244,7372,2
245,9105,2
246,7614,2
247,7817,2
248,7488,2
249,8368,2
250,816,2
251,8754,2
252,5344,2
253,7222,2
254,3207,2
255,7499,2
256,967,2
257,973,2
258,6072,2
259,8397,2
260,4593,2
261,1727,2
262,6681,2
263,5823,2
264,8599,2
265,1260,2
266,2592,2
267,3503,2
268,4226,2
269,7846,2
270,2324,2
271,8183,2
272,9012,2
273,8837,2
274,9200,2
275,4421,2
276,3497,2
277,905,2
278,1779,2
279,4899,2
280,5141,2
281,5808,2
282,2657,2
283,2979,2
284,7709,2
285,1579,2
286,3612,2
287,1129,2
288,6977,2
289,9417,2
290,4084,2
291,2134,2
292,1184,2
293,13,2
294,8427,2
295,1932,2
296,1571,2
297,4708,2
298,7827,2
299,799,2
300,557,2
301,8692,2
302,435,2
303,2418,2
304,3788,2
305,8677,2
306,908,2
307,8340,2
308,3754,2
309,6418,2
310,3977,2
311,3207,2
312,5331,2
313,8031,2
314,3842,2
315,3131,2
316,7471,2
317,2589,2
318,729,2
319,6152,2
320,2813,2
321,3889,2
322,9170,2
323,2993,2
324,7083,2
325,2682,2
326,4164,2
327,1045,2
328,3997,2
329,6606,2
330,6788,2
331,1106,2
332,6815,2
333,6037,2
334,9164,2
335,4992,2
336,3070,2
337,4614,2
338,1414,2
339,691,2
340,4686,2
341,1107,2
342,2011,2
343,2233,2
344,3350,2
345,2883,2
346,3590,2
347,9576,2
348,3959,2
349,1665,2
350,2386,2
351,654,2
352,3996,2
353,5536,2
354,8758,2
355,3841,2
356,8139,2
357,8070,2
358,3122,2
359,7085,2
360,50,2
361,3163,2
362,8577,2
363,9969,2
364,477,2
365,4953,2
366,3062,2
367,4523,2
368,7560,2
369,859,2
370,8990,2
371,5342,2
372,3494,2
373,3758,2
374,5326,2
375,5462,2
376,7708,2
377,6839,2
378,3317,2
379,7046,2
380,9154,2
381,3634,2
382,7180,2
383,6209,2
384,5175,2
385,1015,2
386,5394,2
387,3299,2
388,6595,2
389,8336,2
390,9336,2
391,4347,2
392,568,2
393,8912,2
394,6963,2
395,4889,2
396,8437,2
397,3734,2
398,4488,2
399,4037,2
400,7403,2
401,8717,2
402,9988,2
403,2314,2
404,6076,2
405,3854,2
406,488,2
407,1566,2
408,1515,2
409,2161,2
410,8308,2
411,7375,2
412,4975,2
413,9202,2
414,464,2
415,7439,2
416,7908,2
417,7562,2
418,7360,2
419,9485,2
420,4931,2
421,7610,2
422,221,2
423,8249,2
424,8390,2
425,1613,2
426,453,2
427,7965,2
428,2046,2
429,487,2
430,8621,2
431,3048,2
432,7473,2
433,3463,2
434,4519,2
435,5717,2
436,4675,2
437,5004,2
438,4913,2
439,880,2
440,4028,2
441,7047,2
442,8558,2
443,3529,2
444,4098,2
445,7870,2
446,8398,2
447,4123,2
448,2354,2
449,4578,2
450,9825,3
451,6740,3
452,8983,3
453,1036,3
454,5059,3
455,6721,3
456,9028,3
457,5775,3
458,3240,3
459,362,3
460,9656,3
461,1837,3
462,5974,3
463,2901,3
464,6949,3
465,3208,3
466,532,3
467,4203,3
468,308,3
469,9575,3
470,2493,3
471,9039,3
472,1149,3
473,9369,3
474,8347,3
475,9113,3
476,4216,3
477,398,3
478,1,3
479,8965,3
480,2753,3
481,2149,3
482,6758,3
483,6205,3
484,9480,3
485,9522,3
486,7771,3
487,3850,3
488,5287,3
489,2632,3
490,4861,3
491,6946,3
492,1440,3
493,6530,3
494,1007,3
495,1010,3
496,5903,3
497,8705,3
498,2561,3
499,5958,3
500,6801,3
501,8611,3
502,8703,3
503,6588,3
504,156,3
505,213,3
506,329,3
507,9890,3
508,8795,3
509,3067,3
510,9444,3
511,6618,3
512,3756,3
513,2469,3
514,199,3
515,2387,3
516,3162,3
517,6166,3
518,6196,3
519,20,3
520,2261,3
521,6370,3
522,8490,3
523,7018,3
524,4933,3
525,7955,3
526,1467,3
527,5729,3
528,5126,3
529,9826,3
530,8273,3
531,5113,3
532,3064,3
533,7718,3
534,9831,3
535,1748,3
536,3405,3
537,5648,3
538,3310,3
539,2287,3
540,5157,3
541,8015,3
542,9144,3
543,9286,3
544,1729,3
545,7990,3
546,3537,3
547,2424,3
548,6105,3
549,2493,3
550,2411,3
551,74,3
552,9013,3
553,5730,3
554,2402,3
555,3811,3
556,5548,3
557,1372,3
558,5625,3
559,3912,3
560,173,3
561,1142,3
562,8783,3
563,1895,3
564,9945,3
565,2121,3
566,8569,3
567,1216,3
568,2489,3
569,425,3
570,7520,3
571,2711,3
572,5234,3
573,2814,3
574,2120,3
575,2996,3
576,9402,3
577,8859,3
578,3005,3
579,9374,3
580,630,3
581,9152,3
582,5382,3
583,5495,3
584,4984,3
585,3221,3
586,5251,3
587,2293,3
588,9896,3
589,5552,3
590,573,3
591,7794,3
592,4032,3
593,595,3
594,4395,3
595,8005,3
596,482,3
597,5992,3
598,1037,3
599,8844,3
600,8430,3
601,2353,3
602,3492,3
603,5179,3
604,388,3
605,9907,3
606,3736,3
607,5055,3
608,8022,3
609,1343,3
610,3221,3
611,7899,3
612,2356,3
613,5287,3
614,1299,3
615,8947,3
616,8071,3
617,6427,3
618,2204,3
619,9741,3
620,6513,3
621,5501,3
622,1505,3
623,9465,3
624,9742,3
