SamuraiId,Picture,Name,Age,Town
1,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_1,7,DonBuri
2,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_2,8,Shijuku
3,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_3,41,Nagasaki
4,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_4,27,Nagasaki
5,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_5,13,DonBuri
6,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_6,16,Shijuku
7,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_7,27,Takoyaki
8,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_8,15,Sushi Town
9,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_9,27,Nagasaki
10,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_10,48,Takoyaki
11,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_11,38,Takoyaki
12,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_12,12,Shijuku
13,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_13,36,Shijuku
14,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_14,10,Nagasaki
15,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_15,10,Sushi Town
16,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_16,23,DonBuri
17,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_17,3,DonBuri
18,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_18,39,Sushi Town
19,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_19,21,Shijuku
20,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_20,46,DonBuri
21,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_21,40,Nagasaki
22,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_22,24,Nagasaki
23,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_23,48,Takoyaki
24,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_24,24,Shijuku
25,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_25,30,Nagasaki
26,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_26,18,Sushi Town
27,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_27,17,Sushi Town
28,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_28,37,Shijuku
29,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_29,25,Nagasaki
30,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_30,48,DonBuri
31,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_31,22,Shijuku
32,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_32,17,Nagasaki
33,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_33,35,Sushi Town
34,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_34,22,DonBuri
35,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_35,6,Nagasaki
36,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_36,48,Takoyaki
37,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_37,1,Nagasaki
38,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_38,34,DonBuri
39,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_39,5,Nagasaki
40,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_40,31,Nagasaki
41,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_41,2,Takoyaki
42,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_42,20,Nagasaki
43,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_43,2,DonBuri
44,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_44,13,Shijuku
45,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_45,3,Nagasaki
46,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_46,48,DonBuri
47,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_47,25,DonBuri
48,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_48,10,DonBuri
49,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_49,49,Shijuku
50,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_50,2,Shijuku
51,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_51,7,Sushi Town
52,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_52,46,Sushi Town
53,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_53,49,Nagasaki
54,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_54,44,Takoyaki
55,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_55,16,DonBuri
56,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_56,23,DonBuri
57,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_57,0,Sushi Town
58,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_58,8,Sushi Town
59,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_59,37,Nagasaki
60,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_60,35,Sushi Town
61,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_61,39,DonBuri
62,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_62,30,Shijuku
63,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_63,30,Sushi Town
64,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_64,19,DonBuri
65,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_65,17,Shijuku
66,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_66,11,DonBuri
67,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_67,17,Shijuku
68,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_68,4,DonBuri
69,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_69,44,Nagasaki
70,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_70,3,Shijuku
71,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_71,12,DonBuri
72,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_72,10,Nagasaki
73,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_73,25,Sushi Town
74,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_74,30,Shijuku
75,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_75,35,Shijuku
76,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_76,10,Nagasaki
77,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_77,13,Takoyaki
78,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_78,26,Shijuku
79,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_79,11,Shijuku
80,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_80,23,DonBuri
81,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_81,33,Shijuku
82,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_82,47,Shijuku
83,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_83,29,Sushi Town
84,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_84,14,Sushi Town
85,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_85,32,Sushi Town
86,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_86,17,Takoyaki
87,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_87,8,Nagasaki
88,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_88,31,Takoyaki
89,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_89,47,Nagasaki
90,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_90,23,Takoyaki
91,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_91,38,DonBuri
92,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_92,33,Shijuku
93,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_93,37,DonBuri
94,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_94,10,Shijuku
95,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_95,33,DonBuri
96,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_96,12,Takoyaki
97,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_97,30,Shijuku
98,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_98,23,Nagasaki
99,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_99,36,Nagasaki
100,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_100,32,DonBuri
101,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_101,21,Shijuku
102,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_102,12,Nagasaki
103,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_103,7,Sushi Town
104,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_104,36,Nagasaki
105,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_105,30,DonBuri
106,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_106,37,Sushi Town
107,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_107,12,Shijuku
108,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_108,9,Nagasaki
109,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_109,0,Shijuku
110,https://static.wikia.nocookie.net/l5r/images/0/0e/Samurai.jpg,Samurai_110,46,DonBuri
